area,bedrooms,bathrooms,floors,parking,location,yearBuilt,price
3961,5,4,6,Yes,Mumbai,2024,58625000
3113,3,3,3,Yes,Mumbai,2014,40168000
4343,5,5,13,Yes,Mumbai,1999,47792000
2000,2,1,3,No,Delhi,1997,15229000
661,1,1,7,Yes,Bangalore,2003,5033000
4797,5,4,6,Yes,Chennai,2020,31597000
2481,2,2,9,No,Bangalore,2003,18784000
1495,3,2,6,No,Hyderabad,2001,9822000
3842,5,5,5,Yes,Delhi,2020,34894000
4298,5,5,10,Yes,Mumbai,1996,46592000
1775,3,2,7,Yes,Bangalore,2017,15641000
1516,2,2,1,Yes,Mumbai,2017,20636000
837,1,1,12,Yes,Hyderabad,2021,6522000
1378,1,1,7,Yes,Bangalore,2015,11036000
1576,2,2,3,Yes,Pune,2010,9978000
4493,5,4,14,Yes,Hyderabad,2003,27272000
879,1,1,9,Yes,Bangalore,2007,7703000
992,2,2,15,Yes,Pune,2022,8152000
2562,2,2,6,Yes,Chennai,2021,15630000
4384,5,5,9,Yes,Mumbai,2013,60247000
564,1,1,13,Yes,Mumbai,2014,8635000
3068,4,4,15,Yes,Mumbai,2011,40611000
2527,2,1,5,Yes,Chennai,2000,12962000
3195,3,3,7,Yes,Pune,1998,17395000
1995,3,3,13,Yes,Hyderabad,1995,12158000
891,2,2,14,Yes,Bangalore,2012,7853000
4061,5,5,4,No,Mumbai,2013,56252000
2778,2,1,15,No,Delhi,2003,22109000
3599,4,3,7,Yes,Mumbai,2007,44618000
700,1,1,13,Yes,Delhi,2002,6190000
3604,5,4,1,Yes,Chennai,2017,22026000
2954,4,4,7,Yes,Hyderabad,2007,22313000
4145,5,4,8,Yes,Hyderabad,2009,27251000
1304,1,1,5,No,Bangalore,2005,10311000
3231,4,4,2,Yes,Bangalore,2006,24848000
3273,5,5,5,Yes,Hyderabad,2008,23095000
2070,1,1,6,No,Hyderabad,1998,12687000
3190,3,3,12,No,Delhi,1995,24383000
4340,5,4,2,No,Pune,2018,27925000
1528,1,1,14,Yes,Mumbai,1998,17509000
1002,1,1,6,Yes,Mumbai,2013,13401000
1370,1,1,6,Yes,Bangalore,2003,11105000
706,1,1,1,Yes,Delhi,2004,5834000
1984,1,1,14,Yes,Delhi,1998,14556000
1363,2,1,1,Yes,Mumbai,2014,16976000
3290,3,3,14,No,Hyderabad,2024,24231000
1063,2,2,11,Yes,Hyderabad,2003,7804000
4691,5,4,10,Yes,Hyderabad,2007,31891000
2257,2,2,3,Yes,Mumbai,2006,26987000
2178,3,3,14,Yes,Pune,2005,13594000
3742,5,4,10,Yes,Pune,2006,21702000
1559,2,2,10,Yes,Mumbai,2024,22117000
2222,4,3,15,Yes,Delhi,2012,21442000
3814,5,5,12,Yes,Chennai,2024,26517000
3657,5,5,3,Yes,Bangalore,2006,27772000
3125,4,3,4,No,Bangalore,2010,26257000
3229,3,2,2,Yes,Chennai,1999,17030000
2097,1,1,9,Yes,Bangalore,2014,18235000
3560,5,4,10,Yes,Chennai,2019,22458000
3193,5,5,12,Yes,Chennai,2006,19727000
4127,4,4,11,Yes,Delhi,2015,41362000
1863,3,2,14,Yes,Pune,2019,13118000
2481,2,2,7,No,Delhi,2005,20432000
2163,3,3,7,No,Delhi,2003,17364000
2029,2,1,15,Yes,Bangalore,2024,17724000
2538,4,3,6,No,Hyderabad,2012,17001000
3802,4,4,15,Yes,Bangalore,2024,33310000
2737,2,1,3,Yes,Delhi,2019,25913000
1806,3,2,6,Yes,Hyderabad,1997,10945000
4529,5,4,15,Yes,Hyderabad,2014,32432000
3175,4,3,14,No,Hyderabad,2011,22197000
1782,3,3,12,Yes,Delhi,2008,15999000
1209,2,2,8,No,Chennai,1995,6326000
4248,5,5,8,Yes,Chennai,2011,24385000
1163,2,1,11,Yes,Mumbai,2019,16550000
2498,2,1,13,Yes,Pune,2021,16523000
3945,4,3,9,Yes,Delhi,2002,32208000
4243,5,4,15,Yes,Mumbai,1999,47687000
1995,1,1,1,No,Mumbai,1999,21227000
3804,4,3,14,Yes,Hyderabad,2003,24926000
4263,5,4,1,No,Chennai,1997,21719000
2353,3,3,3,No,Bangalore,2013,20037000
1791,2,2,3,Yes,Bangalore,2017,14732000
4081,5,4,10,No,Delhi,2003,32924000
3957,5,4,8,No,Bangalore,2016,33355000
2136,3,2,15,Yes,Bangalore,2024,19493000
4196,5,5,10,No,Mumbai,2012,55672000
3499,4,4,1,No,Hyderabad,2010,23971000
3652,5,4,13,Yes,Delhi,1995,28767000
1198,1,1,2,Yes,Mumbai,1996,14183000
2660,2,2,2,No,Mumbai,2008,33524000
4597,5,5,3,Yes,Mumbai,2008,57686000
1354,1,1,13,Yes,Mumbai,1995,15115000
3974,5,5,6,Yes,Mumbai,2020,55299000
2207,3,2,1,No,Delhi,2020,20159000
3277,4,4,2,Yes,Delhi,2019,29199000
2233,2,2,13,No,Delhi,2010,20067000
4010,4,3,15,Yes,Pune,2009,25879000
702,1,1,13,Yes,Hyderabad,2020,5970000
3755,4,4,1,Yes,Bangalore,2009,31266000
4718,5,5,5,Yes,Chennai,2006,25863000
1266,1,1,13,Yes,Bangalore,2010,9695000
2827,3,3,13,No,Hyderabad,2008,19670000
3431,5,4,7,No,Mumbai,2023,48136000
697,1,1,8,Yes,Hyderabad,2018,5958000
2430,4,4,10,Yes,Hyderabad,2009,16369000
4082,5,5,1,No,Chennai,2017,25169000
1108,1,1,7,No,Mumbai,2009,13567000
3772,5,5,13,Yes,Bangalore,2013,31687000
1647,2,1,5,Yes,Chennai,2002,9254000
4782,5,5,10,Yes,Chennai,1996,24523000
3897,5,5,1,No,Bangalore,1996,26913000
3011,3,3,3,Yes,Bangalore,2021,24811000
2294,2,1,7,Yes,Pune,2004,13757000
1159,2,2,10,Yes,Delhi,1997,10092000
3311,5,5,1,No,Delhi,2017,29920000
1869,3,2,7,Yes,Pune,2011,11784000
2486,4,3,5,Yes,Delhi,2002,21663000
646,1,1,1,Yes,Bangalore,2022,6058000
3719,5,5,1,Yes,Delhi,2017,33921000
3411,3,3,14,Yes,Bangalore,1998,24470000
2234,4,4,1,No,Delhi,2008,19171000
2343,4,4,11,No,Mumbai,2015,32091000
988,2,1,9,No,Hyderabad,2004,6608000
3476,3,2,11,No,Mumbai,2023,48367000
2459,2,2,13,Yes,Bangalore,1995,17775000
2885,4,4,3,No,Bangalore,1998,18437000
3419,5,4,15,Yes,Mumbai,1995,39039000
2302,3,3,13,Yes,Bangalore,2011,19843000
4561,5,5,5,No,Delhi,2020,42405000
3869,4,4,11,Yes,Hyderabad,2011,27725000
762,1,1,10,Yes,Delhi,2001,6477000
1123,1,1,12,Yes,Pune,2017,7734000
1516,3,2,9,Yes,Delhi,2014,14210000
4143,4,4,6,Yes,Mumbai,2009,54092000
2549,4,4,12,No,Chennai,2007,13799000
4223,5,5,9,No,Bangalore,2022,39616000
3608,5,4,8,Yes,Hyderabad,1996,21484000
4590,5,4,8,Yes,Bangalore,2022,41314000
2556,3,2,1,Yes,Hyderabad,2013,18210000
3670,5,4,13,No,Chennai,2018,23080000
2182,2,2,9,Yes,Hyderabad,2007,14302000
2755,2,1,6,Yes,Delhi,2018,26963000
1654,2,2,9,Yes,Delhi,2005,14083000
3691,4,4,3,Yes,Hyderabad,2021,26807000
2196,3,2,12,Yes,Mumbai,2016,31125000
4491,5,4,3,No,Hyderabad,2009,29917000
2148,4,3,6,Yes,Mumbai,2004,27976000
1945,3,2,9,Yes,Hyderabad,2003,12880000
4699,5,4,7,Yes,Chennai,2021,28793000
4423,5,5,14,Yes,Chennai,2022,28966000
753,1,1,13,Yes,Hyderabad,2003,5387000
3683,5,4,3,Yes,Hyderabad,2014,25526000
3057,5,4,3,Yes,Delhi,2022,31488000
598,1,1,2,Yes,Bangalore,1995,4797000
2700,2,1,9,No,Pune,2011,16198000
3461,4,4,13,Yes,Mumbai,2006,41205000
4277,5,4,15,No,Bangalore,2004,31877000
3369,4,3,3,Yes,Pune,1999,19130000
3734,5,5,11,No,Mumbai,2024,54544000
4291,5,4,5,Yes,Chennai,2023,28905000
1456,2,2,14,No,Chennai,2012,9258000
4567,5,5,14,Yes,Hyderabad,2009,29684000
660,1,1,9,Yes,Hyderabad,2000,4574000
1800,2,1,8,No,Chennai,2001,8919000
4487,5,4,2,Yes,Chennai,2011,26985000
2027,3,2,3,Yes,Hyderabad,2000,11789000
1718,1,1,2,Yes,Pune,2002,9219000
3604,5,4,8,Yes,Mumbai,2006,43688000
3235,4,4,6,Yes,Bangalore,2015,27798000
1454,2,1,6,Yes,Pune,2008,8986000
3946,4,4,12,Yes,Hyderabad,2006,25627000
1545,2,2,15,No,Chennai,2017,9820000
2193,2,2,9,Yes,Hyderabad,2004,14403000
3936,5,4,8,No,Mumbai,2016,50225000
1062,1,1,4,No,Hyderabad,2014,7164000
2985,5,5,15,Yes,Mumbai,2009,41393000
3854,5,5,12,Yes,Delhi,2001,32184000
725,1,1,4,Yes,Hyderabad,2020,6043000
1459,1,1,9,Yes,Mumbai,2003,17639000
3567,4,4,1,No,Mumbai,2004,42360000
1315,1,1,13,Yes,Hyderabad,2004,9035000
3620,4,3,2,Yes,Pune,2010,22883000
516,1,1,2,Yes,Bangalore,2023,5293000
1743,3,2,13,Yes,Mumbai,2001,20999000
2705,2,1,13,Yes,Mumbai,2022,39617000
3024,4,4,6,Yes,Mumbai,2024,39598000
1569,3,3,15,No,Hyderabad,1999,10707000
3944,5,5,4,Yes,Bangalore,2017,33005000
3065,4,3,13,Yes,Mumbai,1997,35576000
1560,1,1,11,No,Delhi,2012,13571000
2827,4,3,10,Yes,Pune,2005,16281000
3920,5,5,13,No,Mumbai,2009,50399000
801,1,1,3,No,Hyderabad,2015,5415000
4776,5,5,3,Yes,Hyderabad,2014,32920000
1106,2,2,3,No,Hyderabad,1999,6784000
3670,5,4,6,Yes,Hyderabad,2018,26939000
1199,1,1,14,No,Bangalore,2006,9692000
1639,3,2,8,Yes,Hyderabad,1998,10332000
690,1,1,11,Yes,Hyderabad,2009,5414000
2800,5,4,7,No,Hyderabad,2003,18827000
1480,2,1,14,No,Hyderabad,2001,9286000
3475,3,3,4,No,Hyderabad,2004,21294000
1684,3,2,11,Yes,Hyderabad,2023,14438000
3827,4,4,12,No,Bangalore,2022,33511000
3894,4,4,4,Yes,Mumbai,2017,53733000
627,1,1,11,No,Hyderabad,2007,4658000
2565,2,2,10,Yes,Bangalore,2023,21756000
2316,4,3,15,Yes,Bangalore,2002,17373000
1069,2,1,11,Yes,Hyderabad,2006,7816000
2395,4,4,11,Yes,Hyderabad,2016,16671000
3233,5,5,14,No,Mumbai,2018,44522000
4363,5,4,11,Yes,Delhi,2013,38240000
4514,5,4,2,Yes,Hyderabad,2020,34701000
3401,4,4,14,Yes,Hyderabad,2020,26173000
2186,2,2,1,No,Pune,2024,15576000
3509,4,4,9,Yes,Bangalore,1995,24219000
654,1,1,12,Yes,Hyderabad,2010,5181000
3037,4,3,15,Yes,Pune,2016,20203000
1909,1,1,12,Yes,Pune,2011,11786000
4557,5,4,2,Yes,Bangalore,2019,43001000
1284,2,1,13,Yes,Mumbai,2024,19834000
3675,5,5,8,Yes,Hyderabad,2012,24892000
3306,3,3,15,No,Hyderabad,2005,23634000
1037,1,1,9,No,Mumbai,2012,13373000
2341,4,3,4,Yes,Hyderabad,2001,15318000
2955,4,3,8,No,Bangalore,2012,24856000
1024,1,1,9,Yes,Chennai,2020,6508000
3450,3,2,10,Yes,Chennai,2002,17625000
4631,5,4,10,Yes,Hyderabad,2000,30445000
4615,5,4,5,Yes,Mumbai,2024,65462000
2868,3,2,13,Yes,Mumbai,2001,35052000
4347,5,4,14,Yes,Pune,2017,28370000
3201,5,5,7,Yes,Bangalore,2016,27485000
1471,2,1,10,Yes,Hyderabad,2004,10613000
1666,3,3,4,Yes,Hyderabad,2005,11678000
3274,4,4,1,Yes,Bangalore,2019,27873000
2482,3,2,3,Yes,Bangalore,2007,18704000
1353,1,1,5,Yes,Delhi,2003,11021000
4646,5,5,3,Yes,Delhi,2001,39263000
4236,5,5,12,Yes,Bangalore,2003,32787000
4269,5,4,13,No,Mumbai,2007,50367000
1074,1,1,11,Yes,Hyderabad,2020,8553000
3761,4,3,7,Yes,Pune,1997,20387000
1648,3,2,12,Yes,Chennai,1997,9199000
2215,2,1,9,Yes,Chennai,1995,10773000
4354,5,5,15,Yes,Pune,2015,29895000
2991,5,5,12,Yes,Hyderabad,2014,22161000
3160,4,3,6,Yes,Hyderabad,1996,19193000
3624,4,4,13,Yes,Mumbai,2019,48760000
3551,5,5,10,Yes,Chennai,1997,18044000
504,1,1,1,Yes,Hyderabad,2009,4252000
1376,1,1,7,Yes,Hyderabad,2018,11004000
1491,2,2,15,Yes,Pune,2000,9084000
4642,5,5,3,Yes,Hyderabad,2024,37640000
1135,2,2,5,Yes,Bangalore,2007,9832000
2193,2,1,10,Yes,Delhi,2015,19797000
2182,3,3,4,Yes,Hyderabad,1995,12786000
619,1,1,10,Yes,Hyderabad,2014,5232000
1330,2,2,5,Yes,Delhi,2013,12715000
4175,5,5,5,No,Mumbai,1995,44986000
1869,1,1,6,Yes,Chennai,2022,12184000
1240,1,1,14,No,Bangalore,2015,9909000
616,1,1,10,Yes,Hyderabad,2016,5190000
3338,4,4,12,Yes,Delhi,1996,24748000
1650,2,1,10,Yes,Mumbai,2009,20172000
2431,3,3,13,Yes,Hyderabad,2008,16356000
1512,3,3,13,Yes,Delhi,2013,15021000
2164,3,3,11,Yes,Hyderabad,2005,14297000
1581,2,2,6,Yes,Bangalore,2024,13936000
1012,1,1,8,Yes,Hyderabad,2009,7384000
3349,5,4,8,No,Bangalore,2000,25814000
1059,1,1,11,No,Bangalore,2014,9152000
4172,5,4,9,Yes,Mumbai,2003,53440000
3843,5,4,8,Yes,Delhi,1999,32422000
4570,5,4,13,Yes,Chennai,2014,26822000
1970,2,1,11,Yes,Hyderabad,1996,12198000
1080,1,1,2,Yes,Hyderabad,2000,6815000
2794,2,1,14,No,Hyderabad,2020,21195000
3647,4,3,14,Yes,Hyderabad,2012,25399000
4749,5,4,12,Yes,Delhi,2022,44919000
2179,4,3,10,Yes,Delhi,2023,23671000
4006,4,3,12,No,Delhi,2017,37664000
3244,5,4,11,Yes,Hyderabad,2013,22780000
3856,5,4,15,Yes,Bangalore,2003,28547000
4545,5,4,1,No,Mumbai,2021,61326000
1743,2,2,10,Yes,Hyderabad,2015,12396000
3618,4,3,2,No,Mumbai,2018,47992000
2641,4,4,2,Yes,Chennai,2021,17534000
3559,4,3,12,No,Bangalore,2000,25625000
3459,5,4,3,Yes,Delhi,2008,29688000
2765,3,3,10,Yes,Mumbai,2022,41806000
2979,3,2,7,No,Hyderabad,2020,19994000
2135,4,4,2,Yes,Mumbai,2018,30357000
2257,4,4,14,Yes,Bangalore,2023,21169000
2570,3,3,1,Yes,Hyderabad,2007,16452000
3349,3,2,14,Yes,Mumbai,2005,41283000
3751,4,3,6,Yes,Pune,2006,22074000
4230,5,4,9,Yes,Bangalore,2013,36344000
2989,4,4,15,Yes,Bangalore,2013,26030000
2131,2,2,3,Yes,Pune,2015,14901000
3316,4,3,6,Yes,Pune,2021,22297000
1515,2,1,3,Yes,Delhi,2020,15623000
1848,2,1,14,No,Hyderabad,2013,12425000
3587,5,4,13,No,Chennai,2018,22376000
3339,3,2,1,No,Hyderabad,2020,23535000
835,1,1,14,Yes,Mumbai,2007,11316000
1395,1,1,13,Yes,Hyderabad,2022,11235000
4046,5,5,12,Yes,Mumbai,2008,49200000
1351,1,1,5,Yes,Bangalore,2018,11973000
2187,3,3,10,Yes,Bangalore,2012,18040000
2431,2,2,14,Yes,Bangalore,2006,18228000
4246,5,5,13,Yes,Hyderabad,1998,26054000
2927,4,4,11,No,Mumbai,2004,33446000
2068,1,1,4,Yes,Pune,2023,14560000
4500,5,4,7,Yes,Chennai,2011,25990000
3238,3,3,6,Yes,Hyderabad,1998,19524000
3998,4,3,10,Yes,Delhi,2006,33710000
4413,5,4,7,No,Delhi,2007,39927000
1566,3,2,5,Yes,Bangalore,2023,15499000
2944,3,2,15,Yes,Hyderabad,2021,23533000
4607,5,4,15,Yes,Delhi,2023,45411000
3873,4,4,4,Yes,Chennai,1998,18881000
4469,5,5,7,Yes,Mumbai,2004,53811000
3046,5,4,7,No,Bangalore,2019,26899000
1253,1,1,6,No,Mumbai,1997,14441000
2582,4,3,8,No,Hyderabad,2009,17889000
3274,4,4,4,Yes,Delhi,1996,24293000
3396,4,3,10,No,Delhi,2019,31595000
4685,5,5,5,Yes,Hyderabad,2019,33530000
1275,1,1,4,Yes,Pune,2011,8295000
2125,4,4,12,Yes,Bangalore,2000,16693000
3569,5,4,1,Yes,Chennai,2020,23262000
917,2,2,12,Yes,Bangalore,2002,7756000
614,1,1,8,Yes,Hyderabad,1997,3891000
1116,1,1,1,Yes,Bangalore,2021,9211000
4474,5,5,5,Yes,Bangalore,2019,38233000
3767,5,5,15,Yes,Hyderabad,2012,26943000
1325,2,2,6,No,Mumbai,2016,18985000
2016,1,1,6,No,Mumbai,1995,21796000
3646,5,5,13,No,Delhi,2023,34990000
912,1,1,5,Yes,Hyderabad,2010,6755000
1228,1,1,3,Yes,Mumbai,2001,14464000
3848,4,3,15,Yes,Hyderabad,1997,22817000
3308,5,4,5,Yes,Delhi,2017,29467000
1175,1,1,12,Yes,Hyderabad,1998,7568000
3965,5,4,8,Yes,Chennai,2003,21764000
3004,4,4,14,Yes,Delhi,1999,23462000
3467,4,4,2,No,Mumbai,2013,46446000
3286,4,4,6,Yes,Bangalore,2009,26813000
1622,3,3,9,Yes,Hyderabad,2002,11074000
4579,5,5,8,Yes,Bangalore,2000,33075000
2071,2,1,14,No,Pune,2012,13549000
2643,2,1,11,No,Chennai,2013,15436000
2187,4,3,8,No,Hyderabad,2018,16017000
4632,5,4,8,No,Mumbai,2009,57549000
4351,5,5,15,Yes,Delhi,2020,43244000
3940,5,5,13,Yes,Mumbai,2001,42760000
4266,5,5,7,Yes,Hyderabad,2004,26572000
2826,4,3,8,Yes,Hyderabad,2000,18353000
3414,5,5,13,Yes,Bangalore,2008,28752000
4452,5,4,6,Yes,Pune,2011,28850000
1095,1,1,2,No,Mumbai,2003,13387000
1228,1,1,2,No,Mumbai,2013,15943000
1865,2,1,8,No,Chennai,2024,11501000
1198,1,1,11,No,Mumbai,1999,13723000
895,1,1,1,Yes,Pune,2017,5668000
4671,5,4,6,Yes,Mumbai,2001,57192000
3002,3,3,13,Yes,Hyderabad,2013,20606000
2319,3,2,6,Yes,Chennai,2014,13814000
1217,1,1,11,Yes,Mumbai,2020,18118000
3282,5,5,4,Yes,Hyderabad,2001,19674000
4077,5,5,12,No,Bangalore,2018,33238000
643,1,1,11,Yes,Hyderabad,1996,4493000
3640,5,5,13,Yes,Mumbai,2019,52018000
3438,4,4,15,Yes,Pune,2017,23149000
4136,5,5,11,Yes,Chennai,2010,24165000
3722,4,4,13,Yes,Chennai,2007,22206000
1667,3,2,10,Yes,Hyderabad,2002,11486000
3116,5,4,3,No,Bangalore,2000,23086000
1562,1,1,13,Yes,Hyderabad,2000,10245000
2656,3,3,11,Yes,Pune,2003,15595000
3482,3,2,3,Yes,Bangalore,1998,26296000
3794,4,4,15,Yes,Mumbai,2021,48611000
1656,1,1,15,No,Delhi,2005,14759000
1232,1,1,13,Yes,Bangalore,1999,9562000
1453,1,1,13,No,Bangalore,2019,12680000
3039,4,4,1,Yes,Chennai,2011,17960000
3824,4,3,3,No,Chennai,2014,22104000
3801,5,5,4,Yes,Bangalore,2001,29210000
2042,1,1,11,Yes,Mumbai,2021,28570000
1691,1,1,11,Yes,Chennai,2009,9534000
3493,5,5,5,Yes,Hyderabad,2019,27239000
3181,4,3,3,Yes,Bangalore,2009,26689000
1717,2,2,6,Yes,Hyderabad,2008,10912000
2040,1,1,11,Yes,Mumbai,2007,27634000
3736,5,4,14,Yes,Hyderabad,2005,23749000
2886,4,3,15,Yes,Bangalore,2022,25152000
4219,5,5,12,No,Hyderabad,2007,26596000
1888,3,2,5,Yes,Mumbai,2020,26744000
2356,3,2,3,Yes,Chennai,2016,13719000
1865,2,2,6,Yes,Pune,2022,12529000
999,2,2,6,No,Pune,2018,6912000
2180,4,4,15,Yes,Mumbai,2023,32573000
1010,2,1,14,Yes,Hyderabad,2003,7299000
1824,3,2,8,No,Hyderabad,2004,12596000
1655,1,1,2,Yes,Chennai,1998,8781000
2327,4,3,1,Yes,Bangalore,2011,19887000
3641,5,5,4,Yes,Hyderabad,2008,24459000
3986,5,4,7,Yes,Delhi,2018,35088000
2310,2,2,15,Yes,Bangalore,2012,17624000
3423,4,3,11,Yes,Bangalore,2005,27210000
2714,3,3,10,Yes,Chennai,2010,16518000
4686,5,5,3,No,Pune,1995,24005000
1213,1,1,3,Yes,Bangalore,2023,10311000
4102,4,3,5,Yes,Chennai,2001,20467000
4634,5,5,5,Yes,Delhi,2022,45544000
4022,5,5,13,Yes,Delhi,2004,34213000
4768,5,4,10,Yes,Hyderabad,2003,31493000
1743,3,3,3,Yes,Hyderabad,2021,13490000
4209,5,4,9,No,Mumbai,2022,58717000
1581,1,1,4,No,Pune,2022,10992000
955,2,2,13,Yes,Mumbai,2019,13043000
1394,1,1,13,Yes,Hyderabad,1997,8817000
1884,1,1,15,Yes,Hyderabad,2016,13565000
2458,3,3,3,Yes,Pune,2017,16929000
3572,5,4,11,Yes,Hyderabad,2008,24877000
2496,4,3,2,Yes,Mumbai,2020,34163000
4785,5,4,10,Yes,Hyderabad,2019,34378000
1004,1,1,13,No,Hyderabad,2009,6416000
1714,3,2,11,No,Delhi,1996,13960000
2031,1,1,9,Yes,Delhi,2018,19310000
3940,4,4,4,Yes,Bangalore,2008,32287000
1323,2,2,3,Yes,Hyderabad,2010,9315000
1428,1,1,7,Yes,Pune,2001,8576000
633,1,1,8,Yes,Hyderabad,1998,4202000
2605,4,4,11,Yes,Mumbai,2012,30869000
4127,5,4,14,Yes,Chennai,2018,25775000
2352,4,3,2,Yes,Hyderabad,2021,17737000
4675,5,5,7,Yes,Chennai,1999,23155000
3433,5,4,12,Yes,Hyderabad,2000,22577000
3784,5,4,5,Yes,Mumbai,2024,57247000
4798,5,5,15,No,Bangalore,2021,41968000
3311,5,4,11,Yes,Chennai,2001,17969000
1750,3,2,5,Yes,Bangalore,2009,14322000
4012,5,4,3,Yes,Bangalore,2020,33879000
1756,2,1,5,Yes,Chennai,1995,9047000
3876,5,5,12,Yes,Mumbai,2018,50281000
3986,5,4,2,Yes,Mumbai,1998,43228000
4084,4,3,4,Yes,Bangalore,2023,34746000
1896,1,1,6,No,Delhi,2019,18018000
4137,5,4,1,Yes,Hyderabad,1995,23882000
3830,4,4,10,Yes,Hyderabad,2005,26359000
3203,4,3,4,Yes,Mumbai,2012,42978000
970,2,2,6,Yes,Bangalore,2008,8033000
1853,2,1,9,Yes,Chennai,2016,11799000
3283,4,4,14,Yes,Chennai,2005,18274000
3331,5,5,11,Yes,Delhi,2004,29037000
857,1,1,11,Yes,Pune,2021,6741000
3519,5,5,13,Yes,Delhi,2024,37467000
1167,1,1,2,Yes,Hyderabad,2011,8217000
1645,3,2,11,Yes,Delhi,1998,14472000
4685,5,4,7,Yes,Hyderabad,2018,34607000
4219,5,4,6,No,Bangalore,2009,33071000
3245,5,5,2,Yes,Pune,2020,22264000
1039,1,1,8,Yes,Mumbai,2010,13299000
3279,5,5,7,Yes,Pune,2015,22342000
4636,5,5,11,Yes,Hyderabad,2007,30923000
4275,5,4,5,Yes,Mumbai,2003,51425000
3008,3,2,12,No,Hyderabad,2005,19714000
3279,3,3,5,Yes,Mumbai,2005,40132000
1424,2,2,7,Yes,Delhi,2000,12852000
3456,4,3,9,Yes,Mumbai,1995,37273000
2081,1,1,11,Yes,Bangalore,2016,17697000
3824,4,3,15,Yes,Hyderabad,2000,23561000
755,1,1,9,Yes,Hyderabad,2007,5027000
2338,3,3,9,Yes,Mumbai,2016,31706000
2444,2,1,6,Yes,Chennai,2018,14356000
509,1,1,10,Yes,Hyderabad,2016,4445000
3371,3,2,6,Yes,Delhi,1999,26412000
1297,2,2,3,Yes,Pune,2009,8563000
1515,1,1,1,Yes,Mumbai,2021,20700000
2324,4,4,7,Yes,Delhi,2012,21341000
3636,5,5,4,Yes,Pune,2014,24436000
2693,2,1,1,Yes,Bangalore,2008,19846000
723,2,2,15,Yes,Bangalore,2009,6368000
4658,5,4,8,Yes,Hyderabad,2020,34657000
4425,5,4,12,Yes,Chennai,1999,23996000
4500,5,4,6,Yes,Chennai,2020,28917000
2133,3,2,6,No,Delhi,1998,16890000
2652,3,3,2,Yes,Hyderabad,1996,16610000
1010,2,2,15,Yes,Bangalore,2001,8676000
884,1,1,1,Yes,Hyderabad,2004,5842000
904,1,1,13,Yes,Hyderabad,2010,6877000
2500,2,1,14,Yes,Mumbai,2004,30500000
3256,4,3,14,Yes,Chennai,2012,19456000
2168,3,2,2,No,Chennai,2011,13061000
